iter	Passed	Remaining
0	139	139070
1	140	70030
2	141	46932
3	142	35382
4	143	28559
5	144	23942
6	145	20623
7	146	18128
8	147	16188
9	147	14635
10	149	13398
11	149	12340
12	150	11444
13	151	10676
14	152	10008
15	153	9423
16	154	8913
17	154	8454
18	155	8045
19	156	7674
20	157	7340
21	158	7035
22	159	6758
23	160	6523
24	161	6288
25	162	6072
26	162	5870
27	163	5683
28	164	5508
29	165	5351
30	166	5199
31	167	5056
32	167	4922
33	168	4795
34	169	4676
35	170	4564
36	171	4462
37	172	4361
38	173	4265
39	173	4174
40	174	4086
41	175	4006
42	176	3932
43	177	3858
44	178	3786
45	179	3718
46	180	3652
47	181	3590
48	182	3540
49	183	3483
50	184	3427
51	185	3373
52	185	3321
53	186	3271
54	187	3225
55	188	3180
56	189	3136
57	190	3094
58	191	3052
59	192	3012
60	193	2977
61	194	2939
62	195	2902
63	195	2865
64	196	2830
65	197	2796
66	198	2762
67	199	2735
68	200	2704
69	201	2674
70	202	2645
71	203	2617
72	203	2589
73	204	2562
74	205	2537
75	206	2513
76	207	2487
77	208	2462
78	209	2438
79	209	2414
80	210	2393
81	211	2371
82	212	2345
83	213	2324
84	214	2303
85	214	2283
86	215	2263
87	216	2246
88	217	2228
89	218	2209
90	219	2191
91	220	2173
92	221	2155
93	221	2137
94	222	2122
95	223	2105
96	224	2089
97	225	2073
98	226	2057
99	226	2041
100	227	2026
101	228	2013
102	229	1998
103	230	1984
104	231	1970
105	231	1956
106	232	1942
107	233	1930
108	234	1919
109	235	1907
110	236	1895
111	237	1884
112	238	1872
113	239	1862
114	240	1852
115	241	1842
116	242	1831
117	243	1820
118	244	1810
119	245	1802
120	246	1792
121	247	1781
122	248	1772
123	249	1762
124	250	1753
125	251	1747
126	252	1737
127	253	1728
128	254	1719
129	255	1710
130	256	1701
131	257	1694
132	258	1685
133	259	1677
134	260	1668
135	261	1660
136	262	1653
137	263	1648
138	264	1639
139	265	1631
140	266	1622
141	266	1612
142	267	1604
143	268	1597
144	269	1590
145	270	1582
146	271	1574
147	272	1566
148	272	1559
149	273	1552
150	275	1548
151	276	1541
152	277	1534
153	278	1529
154	279	1523
155	280	1518
156	281	1512
157	282	1505
158	283	1500
159	284	1494
160	285	1486
161	286	1481
162	287	1476
163	288	1471
164	289	1465
165	290	1458
166	291	1452
167	292	1446
168	293	1441
169	294	1435
170	295	1430
171	295	1424
172	296	1418
173	297	1413
174	298	1407
175	299	1402
176	300	1396
177	301	1391
178	302	1385
179	302	1380
180	304	1376
181	305	1371
182	306	1366
183	306	1360
184	307	1355
185	308	1350
186	309	1345
187	310	1340
188	311	1335
189	312	1330
190	313	1325
191	313	1320
192	314	1316
193	315	1312
194	316	1307
195	317	1302
196	318	1297
197	319	1292
198	320	1288
199	320	1283
200	322	1279
201	323	1276
202	324	1273
203	325	1270
204	326	1266
205	328	1264
206	329	1260
207	329	1256
208	330	1251
209	331	1247
210	332	1243
211	333	1239
212	334	1235
213	335	1231
214	336	1227
215	336	1223
216	337	1218
217	339	1216
218	339	1212
219	340	1208
220	341	1204
221	342	1200
222	343	1196
223	344	1192
224	345	1189
225	346	1185
226	347	1182
227	347	1178
228	348	1174
229	349	1170
230	351	1169
231	352	1166
232	353	1164
233	354	1161
234	355	1158
235	356	1154
236	357	1151
237	358	1148
238	359	1144
239	360	1141
240	361	1138
241	362	1135
242	363	1132
243	364	1129
244	365	1125
245	366	1122
246	367	1119
247	368	1116
248	369	1112
249	369	1109
250	370	1106
251	371	1103
252	373	1101
253	374	1098
254	374	1095
255	375	1092
256	376	1089
257	377	1086
258	379	1084
259	380	1082
260	381	1079
261	382	1076
262	384	1077
263	385	1075
264	386	1072
265	387	1069
266	388	1066
267	390	1065
268	391	1062
269	391	1059
270	392	1056
271	393	1053
272	394	1051
273	396	1049
274	397	1047
275	398	1044
276	399	1041
277	400	1038
278	400	1036
279	402	1034
280	403	1031
281	403	1028
282	404	1025
283	405	1022
284	407	1021
285	408	1018
286	408	1016
287	409	1013
288	410	1010
289	411	1007
290	413	1006
291	414	1003
292	414	1001
293	415	998
294	416	995
295	417	992
296	418	990
297	419	987
298	420	985
299	420	982
300	421	979
301	422	976
302	423	974
303	425	973
304	425	970
305	426	968
306	427	965
307	428	963
308	429	960
309	431	959
310	432	957
311	432	954
312	433	952
313	434	949
314	435	947
315	437	946
316	438	944
317	439	941
318	439	939
319	440	936
320	441	934
321	443	934
322	444	931
323	445	929
324	446	927
325	447	924
326	448	923
327	449	921
328	450	919
329	451	917
330	452	914
331	453	912
332	455	911
333	456	909
334	457	907
335	458	905
336	458	902
337	459	900
338	461	898
339	461	896
340	462	894
341	463	892
342	464	890
343	465	887
344	466	886
345	467	883
346	468	881
347	469	879
348	470	877
349	471	874
350	472	873
351	473	871
352	474	868
353	474	866
354	475	864
355	476	862
356	477	860
357	478	858
358	479	856
359	480	854
360	481	852
361	482	850
362	483	848
363	484	846
364	485	844
365	486	841
366	486	839
367	487	837
368	488	835
369	489	834
370	490	832
371	491	829
372	492	827
373	492	825
374	493	822
375	494	820
376	495	818
377	496	816
378	497	814
379	498	812
380	498	810
381	499	808
382	500	805
383	501	803
384	501	801
385	502	799
386	503	797
387	504	795
388	505	793
389	506	791
390	506	789
391	507	787
392	508	785
393	509	783
394	509	780
395	510	778
396	511	776
397	511	774
398	512	771
399	513	769
400	514	767
401	514	765
402	515	763
403	516	762
404	518	762
405	519	760
406	520	758
407	521	756
408	522	754
409	522	752
410	523	750
411	524	748
412	525	747
413	526	745
414	527	742
415	527	740
416	528	738
417	529	736
418	529	734
419	530	733
420	531	731
421	532	729
422	533	727
423	534	726
424	535	724
425	536	723
426	538	722
427	538	720
428	539	718
429	540	716
430	541	715
431	542	713
432	543	712
433	544	710
434	545	708
435	546	707
436	547	705
437	549	704
438	550	703
439	551	701
440	551	699
441	552	698
442	553	696
443	555	695
444	556	693
445	557	692
446	558	690
447	559	689
448	560	688
449	561	686
450	562	684
451	563	683
